LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
Dog Senior Lifetime Neutered Male,SIB HUSKY,WHITE/RED,BAILEY,15132,2099,2013-12-04T14:26:43
Dog Senior Lifetime Spayed Female,GREYHOUND,BRINDLE,GINGER,15209,2099,2013-12-04T14:36:19
Dog Lifetime Neutered Male,TERRIER MIX,BROWN/TAN,RUSTY ROZZO,15120,2099,2013-12-05T13:51:02
Dog Lifetime Neutered Male,GOLDEN RETRIEVER,TAN,GUINNESS,15101,2099,2013-12-06T11:18:57
Dog Lifetime Spayed Female,AM PIT BULL TERRIER,WHITE/GREY,BABS,15234,2099,2013-12-09T08:58:06
Dog Lifetime Duplicate,ENG SPRINGER SPANIE,WHITE/BLACK/BROWN,JOSEPHINE,15238,2099,2013-12-11T09:34:30
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,CHOCOLATE,CALLISTTO,15025,2099,2013-12-11T16:03:22
Dog Lifetime Neutered Male,HAVANESE,SABLE,GIZMO,15057,2099,2013-12-11T16:05:30
Dog Lifetime Spayed Female,GOLDENDOODLE,BLONDE,AVERY,15090,2099,2013-12-11T16:07:27
Dog Lifetime Neutered Male,GER SHEPHERD,BROWN,KAISER,15237,2099,2013-12-11T16:09:59
Dog Inter County Transfer - Lifetime,GER SHEPHERD,BROWN,KAISER,15146,2099,2015-04-07T12:58:15
Dog Lifetime Duplicate,BEAGLE MIX,WHITE/BLACK,MAISY,15116,2099,2013-12-11T16:10:46
Dog Lifetime Neutered Male,GOLDEN RETRIEVER,BLONDE,MAVERICK,15068,2099,2013-12-11T16:12:22
Dog Lifetime Spayed Female,COCKAPOO,BROWN,BECKETT,15205,2099,2013-12-12T10:27:03
Dog Senior Lifetime Spayed Female,BERNESE MTN DOG,WHITE/BLACK/BROWN,ISABELLA,15034,2099,2013-12-12T11:35:33
Dog Lifetime Female,VIZSLA,RED,PENNY,15024,2099,2013-12-13T09:01:13
Dog Senior Lifetime Spayed Female,OTHER,SPOTTED,LUCY,15147,2099,2013-12-13T09:01:16
Dog Senior Lifetime Neutered Male,POODLE TOY,RED,JAKE,15239,2099,2013-12-13T09:01:18
Dog Lifetime Male,BEAGLE,BLACK,CHESTER,15235,2099,2013-12-13T09:01:20
Dog Senior Lifetime Neutered Male,POMERANIAN,OTHER,NICO,15229,2099,2013-12-13T09:01:26
Dog Lifetime Neutered Male,BICHON FRISE,WHITE,CJ,15017,2099,2013-12-12T16:17:45
Dog Lifetime Spayed Female,MIXED,WHITE/BLACK,EMMA,15146,2099,2013-12-12T16:17:46
Dog Lifetime Neutered Male,MALTESE,WHITE,SPENCER,15235,2099,2013-12-12T16:17:46
Dog Senior Lifetime Neutered Male,W HGHLND WH TERRIER,WHITE,BENTLEY,15227,2099,2013-12-12T16:17:47
Dog Lifetime Neutered Male,YORKSHIRE TERRIER,BLACK/BROWN,YOIE,15102,2099,2013-12-12T16:17:48
Dog Senior Lifetime Spayed Female,MIN PINSCHER,BLACK/TAN,PENNY,15101,2099,2013-12-12T16:17:49
Dog Senior Lifetime Spayed Female,PUG,FAWN,FRANKIE,15101,2099,2013-12-12T16:17:49
Dog Lifetime Neutered Male,TERRIER MIX,WHITE/BLACK,LOKI,15068,2099,2013-12-12T16:17:50
Dog Lifetime Neutered Male,MIXED,TAN,CROSBY,15235,2099,2013-12-12T16:17:50
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BROWN,CHEWBACCA,15143,2099,2013-12-12T16:17:51
Dog Lifetime Neutered Male,BOXER,WHITE,CHANCE,15221,2099,2013-12-12T16:17:52
Dog Lifetime Spayed Female,BEAGLE,MULTI,SAMI,15235,2099,2013-12-12T15:52:14
Dog Senior Lifetime Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,GRACIE MAY W,15017,2099,2013-12-12T16:17:52
Dog Lifetime Neutered Male,BEAGLE,WHITE/BLACK/BROWN,DUKE,15045,2099,2013-12-12T16:17:53
Dog Lifetime Neutered Male,ST BERNARD,BLACK/RED,YODA,15215,2099,2013-12-12T16:17:54
Dog Lifetime Neutered Male,MIXED,WHITE/BLACK,BRODY,15084,2099,2013-12-12T16:17:54
Dog Lifetime Neutered Male,BEAGLE,WHITE/BLACK/BROWN,SONNY,15218,2099,2013-12-12T16:17:55
Dog Lifetime Neutered Male,MIXED,WHITE,BENNY,15239,2099,2013-12-12T16:17:56
Dog Lifetime Neutered Male,SIB HUSKY,WHITE/BLACK,JUNEAU,15239,2099,2013-12-12T16:17:56
Dog Lifetime Spayed Female,CAV KING CHAR SPANI,BLACK/TAN,EMME,15037,2099,2013-12-12T16:17:57
Dog Lifetime Spayed Female,MIXED,BLACK,LAYLA,15101,2099,2013-12-12T16:17:57
Dog Lifetime Neutered Male,BOXER,BROWN,RILEY,15212,2099,2013-12-13T10:31:50
Dog Inter County Transfer - Lifetime,BOXER,BROWN,RILEY,15136,2099,2015-05-21T09:10:29
Dog Lifetime Duplicate,MIXED,BROWN,GINGER,15143,2099,2013-12-16T10:41:40
Dog Lifetime Duplicate,LAB MIX,BLACK,SADIE,15090,2099,2013-12-16T10:59:23
Dog Lifetime Duplicate,BOSTON TERRIER,WHITE/BRINDLE,FRANKIE,15215,2099,2013-12-16T11:02:28
Dog Lifetime Neutered Male,BISHON FRISE MIX,WHITE,CALVIN,15229,2099,2013-12-16T15:23:50
Dog Lifetime Spayed Female,AUS SHEPHERD,RED,HAVEN,15202,2099,2013-12-16T15:23:51
Dog Lifetime Spayed Female,BOXER MIX,WHITE/BLACK/BROWN,MINNIE,15025,2099,2013-12-16T15:23:52
Dog Lifetime Spayed Female,BOXER,BRINDLE,NIKKI,15136,2099,2013-12-17T15:54:21
Dog Lifetime Duplicate,GREAT PYRENEES,WHITE,ABEL,15037,2099,2013-12-17T11:13:17
Dog Lifetime Male,BEAGLE,WHITE/TAN,MECHAOS,15235,2099,2013-12-17T13:10:05
Dog Lifetime Male,PARSON RUSSELL TERR,WHITE/BLACK,LEONARD,15228,2099,2013-12-17T13:14:23
Dog Senior Lifetime Spayed Female,AM BULLDOG,WHITE/TAN,ELLIE,15221,2099,2013-12-18T08:18:49
Dog Lifetime Neutered Male,BICHON FRISE,WHITE/BROWN,TOBY ,15143,2099,2013-12-18T08:54:33
Dog Lifetime Neutered Male,CHIHUAHUA,WHITE/BLACK,MERLIN,15235,2099,2013-12-18T11:02:58
Dog Lifetime Neutered Male,ST BERNARD,WHITE/BLACK/BROWN,BUFORD,15133,2099,2013-12-18T13:09:12
Dog Lifetime Spayed Female,BEAGLE,WHITE/BLACK/BROWN,BELLA,15229,2099,2013-12-18T13:55:50
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,HERSHEY,15234,2099,2013-12-18T14:02:07
Dog Lifetime Spayed Female,BOXER,BRINDLE,CHLOE,15108,2099,2013-12-18T14:05:00
Dog Lifetime Spayed Female,MIXED,WHITE/GREY,DAISY,15045,2099,2013-12-18T14:11:28
Dog Lifetime Spayed Female,VIZSLA,RED,ROSIE,15143,2099,2013-12-18T14:16:56
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,WHITE,BAILEY JANE,15202,2099,2018-04-19T11:27:24
Dog Senior Lifetime Spayed Female,AM BULLDOG,WHITE/BROWN,GINGER,15024,2099,2018-04-19T11:27:25
Dog Lifetime Duplicate,LABRADOR RETRIEVER,WHITE,ROGER,15238,2099,2018-04-19T11:29:16
Dog Lifetime Spayed Female,AM PITT BULL MIX,WHITE/BLACK,ABBY,15122,2099,2018-04-19T12:03:21
Dog Lifetime Duplicate,TAG,WHITE/BLACK/BROWN,TUCKER ,15025,2099,2018-04-19T11:44:48
Dog Lifetime Neutered Male,BEAGLE,WHITE/BROWN,LINUS,15106,2099,2018-04-19T12:03:21
Dog Lifetime Neutered Male,BOXER MIX,TAN,ROMEO,15068,2099,2018-04-19T12:03:22
Dog Lifetime Spayed Female,AM PITT BULL MIX,WHITE/BRINDLE,TALIA,15106,2099,2018-04-19T12:03:23
Dog Senior Lifetime Male,GREAT DANE,BLACK,DIESEL 2,15108,2099,2018-04-19T12:03:23
Dog Senior Lifetime Male,MALTESE,WHITE,COTTON,15014,2099,2018-04-19T12:03:23
Dog Lifetime Neutered Male,MIXED,WHITE/TAN,LORD ENZO,15221,2099,2018-04-19T12:16:19
Dog Lifetime Female,MALTESE,WHITE,TAFFY,15234,2099,2018-04-19T12:25:11
Dog Lifetime Spayed Female,LABRADOODLE,BLACK,LILLY,15238,2099,2018-04-19T13:07:53
Dog Lifetime Spayed Female,GOLDENDOODLE,WHITE/BLACK,BIANCA,15241,2099,2018-04-19T13:22:59
Dog Lifetime Female,MIN PINSCHER,RED,PIPPIN,15205,2099,2018-04-19T15:24:37
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,TAN,LEO,15102,2099,2018-04-20T14:23:02
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,YELLOW,LIBBY,15046,2099,2018-04-23T09:02:30
Dog Lifetime Neutered Male,AM STAFF TERRIER,SPOTTED,ROCCO,15044,2099,2018-04-23T10:05:31
Dog Lifetime Spayed Female,MIXED,WHITE/TAN,BOOP,15237,2099,2018-04-23T10:10:55
Dog Lifetime Neutered Male,FRENCH BULLDOG,WHITE/BLACK,MICKEY,15147,2099,2018-04-23T10:15:14
Dog Lifetime Spayed Female,MIXED,WHITE/BLACK/BROWN,CLEMENTINE,15235,2099,2018-04-23T10:20:52
Dog Senior Lifetime Spayed Female,TERRIER MIX,WHITE/FAWN,ELLIE,15065,2099,2018-04-23T10:26:20
Dog Lifetime Neutered Male,MIXED,WHITE/BLACK,MAX,15102,2099,2018-04-23T10:30:29
Dog Lifetime Spayed Female,YORKSHIRE TERRIER,TAN,MILLIE,15101,2099,2018-04-23T10:35:38
Dog Out of County Transfer - Lifetime,LABRADOR RETRIEVER,BLACK,SADIE LANE,15102,2099,2018-04-23T10:47:33
Dog Lifetime Duplicate,TERRIER MIX,BLACK,TRAMP,15024,2099,2018-04-23T10:42:04
Dog Lifetime Spayed Female,TAG,TAN,CHLOE,15202,2099,2018-04-23T10:52:08
Dog Lifetime Neutered Male,MIXED,SPOTTED,SWANSON,15205,2099,2018-04-23T12:12:42
Dog Lifetime Spayed Female,ROTTWEILER,BLACK/BROWN,MURPHY,15025,2099,2018-04-23T13:34:05
Dog Senior Lifetime Spayed Female,POODLE MIX,RED/BROWN,CHLOE,15237,2099,2018-04-23T14:03:06
Dog Lifetime Neutered Male,ENG SPRINGER SPANIE,WHITE/BROWN,LLOYD,15090,2099,2018-04-23T14:22:56
Dog Senior Lifetime Neutered Male,AIREDALE TERRIER,BLACK/TAN,GINO,15229,2099,2018-04-23T14:34:19
Dog Lifetime Neutered Male,MIXED,TAN,TURBO,15228,2099,2018-04-23T14:41:58
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,BAEL FIRE,15207,2099,2018-04-23T15:28:17
Dog Senior Lifetime Spayed Female,TAG,WHITE/BLACK/BROWN,ANGEL,15136,2099,2018-04-23T15:50:20
Dog Lifetime Spayed Female,GREAT PYRENEES,WHITE,GRACIE,15143,2099,2018-04-23T16:10:43
Dog Lifetime Spayed Female,MASTIFF TIBETAN,RED,LUCY,15143,2099,2018-04-23T16:10:43
Dog Lifetime Neutered Male,MASTIFF TIBETAN,GOLD,CLIFFORD,15143,2099,2018-04-23T16:10:43
Dog Lifetime Neutered Male,MASTIFF TIBETAN,BLACK/RED,NORMAN,15143,2099,2018-04-23T16:10:43
Dog Lifetime Neutered Male,JACK RUSSEL TERRIER,BLACK/TAN,HARLEY,15101,2099,2018-04-24T10:37:49
Dog Lifetime Neutered Male,AUS SHEPHERD,BLUE,MAX,15227,2099,2018-04-24T10:51:59
Dog Lifetime Spayed Female,YORKSHIRE TERRIER,TAN,MILA,15135,2099,2018-04-24T10:58:36
Dog Lifetime Neutered Male,ENG BULLDOG,SPOTTED,ODEN,15215,2099,2018-04-24T11:53:05
Dog Lifetime Neutered Male,MIXED,SPOTTED,BUCKY,15205,2099,2018-04-24T11:57:55
Dog Lifetime Neutered Male,GOLDENDOODLE,BLACK,LIEBCHEN,15234,2099,2018-04-24T12:04:44
Dog Senior Lifetime Female,VIZSLA,RED,TOVAH,15146,2099,2018-04-24T12:12:36
Dog Lifetime Neutered Male,GOLDENDOODLE,BROWN,EASTON,15143,2099,2018-04-24T12:20:50
Dog Senior Lifetime Male,AUS SHEPHERD,WHITE/BLACK/BROWN,RIGGZ,15237,2099,2018-04-24T12:22:57
Dog Senior Lifetime Neutered Male,SHIH TZU MIX,SPOTTED,MURPHY,15237,2099,2018-04-24T12:56:08
Dog Lifetime Duplicate,WELSH CORGI PEMBROK,TRI-COLOR,THEODORE BEAR,15122,2099,2018-04-24T13:35:20
Dog Lifetime Female,LABRADOR RETRIEVER,YELLOW,SHEA,15131,2099,2018-04-24T13:23:42
Dog Senior Lifetime Male,AM PIT BULL TERRIER,GREY,RICO,15241,2099,2018-04-24T13:34:18
Dog Lifetime Spayed Female,GOLDENDOODLE,BLONDE,AMITY,15044,2099,2018-04-24T13:37:07
Dog Lifetime Spayed Female,MALTESE MIX,WHITE/TAN,PIKU,15057,2099,2018-04-24T14:08:27
Dog Lifetime Spayed Female,GOLDEN RETRIEVER,GOLD,MIKA,15202,2099,2018-04-24T14:32:32
Dog Lifetime Spayed Female,AM PIT BULL TERRIER,WHITE/BLACK,LILY,15135,2099,2018-04-24T15:33:24
Dog Senior Lifetime Neutered Male,LABRADOR RETRIEVER,BLACK,TOBY,15235,2099,2018-04-25T09:23:39
Dog Lifetime Spayed Female,PAPILLON,MULTI,POPPY,15065,2099,2018-04-25T09:23:42
Dog Lifetime Male,GOLDEN RETRIEVER,GOLD,MURPHY,15146,2099,2018-04-25T09:23:46
Dog Lifetime Neutered Male,BOXER,FAWN,BAXTER,15071,2099,2018-04-25T09:23:53
Dog Senior Lifetime Female,POODLE TOY,WHITE,ANGEL,15106,2099,2018-04-25T08:50:39
Dog Lifetime Spayed Female,YORKSHIRE TERRIER,BLACK/BROWN,JERSEY,15102,2099,2018-04-25T12:44:18
Dog Lifetime Spayed Female,GER SHEPHERD MIX,WHITE/BLACK/BROWN,BAILEY,15147,2099,2018-04-25T12:44:19
Dog Lifetime Spayed Female,AM PIT BULL TERRIER,FAWN,BELLA,15037,2099,2018-04-25T13:19:58
Dog Senior Lifetime Male,DACHSHUND,CREAM,MAXX II,15227,2099,2018-04-25T13:19:59
Dog Senior Lifetime Spayed Female,YORKSHIRE TERRIER,BLACK/TAN,PRINCESS,15024,2099,2006-05-11T00:00:00
Dog Senior Lifetime Neutered Male,YORKSHIRE TERRIER,BLUE/GOLD,MURPHY,15024,2099,2006-05-11T00:00:00
Dog Lifetime Spayed Female,PARSON RUSSELL TERR,WHITE/BROWN,SADIE,15108,2099,2006-05-11T00:00:00
Dog Lifetime Neutered Male,PARSON RUSSELL TERR,WHITE/BLACK/BROWN,HOWIE,15108,2099,2006-05-11T00:00:00
Dog Lifetime Neutered Male,COLLIE,SABLE/WHITE,MARKY-MARK,15132,2099,2006-05-11T00:00:00
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BLACK,EMMA,15101,2099,2006-06-26T00:00:00
Dog Lifetime Spayed Female,IRISH SETTER,RED,BRANDY,15237,2099,2006-05-17T00:00:00
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BLACK,HUNTER,15147,2099,2006-05-18T00:00:00
Dog Lifetime Male,SUSSEX SPANIEL,BROWN/TAN,TIMOTY MENEELY,15235,2099,2006-05-18T00:00:00
Dog Lifetime Spayed Female,MALTESE,WHITE,GYPSY,15137,2099,2006-05-18T00:00:00
Dog Lifetime Spayed Female,MALTESE,WHITE,CRYSTAL,15137,2099,2006-05-18T00:00:00
Dog Lifetime Spayed Female,GOLDEN RETRIEVER,GOLD,AMBER,15239,2099,2006-05-18T00:00:00
Dog Lifetime Neutered Male,SHETLAND SHEEPDOG,SABLE,KIRBY,15239,2099,2006-05-18T00:00:00
Dog Lifetime Neutered Male,W HGHLND WH TERRIER,WHITE,OZZIE,15227,2099,2006-05-23T00:00:00
Dog Lifetime Neutered Male,BORD COLLIE MIX,WHITE/TAN,BUIE,15227,2099,2006-05-25T00:00:00
Dog Lifetime Neutered Male,TIBETAN TERRIER,WHITE/BLACK,CHARLIE,15063,2099,2006-05-25T00:00:00
Dog Lifetime Spayed Female,MIXED,BLACK/BROWN,MAXIE,15122,2099,2006-05-25T00:00:00
Dog Lifetime Neutered Male,SFT COAT WHEAT TERR,BROWN/TAN,MURPHY,15102,2099,2006-05-25T00:00:00
Dog Senior Lifetime Neutered Male,RETRIEVER MIX,BLACK,BUDDY,15205,2099,2006-05-25T00:00:00
Dog Lifetime Neutered Male,MIXED,WHITE/BLACK/BROWN,JAKE,15215,2099,2006-05-25T00:00:00
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BLACK,TUCKER,15044,2099,2006-05-25T00:00:00
Dog Lifetime Spayed Female,MIXED,WHITE/BLACK,COOKIE 'OREO' WALDMAN,15145,2099,2006-05-25T00:00:00
Dog Lifetime Neutered Male,LABRADOODLE,YELLOW,NICK,15215,2099,2006-05-25T00:00:00
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BROWN,MIJA,15237,2099,2006-05-26T00:00:00
Dog Lifetime Neutered Male,SCHNAUZER MIN,WHITE/BLACK,TIMBER 1,15236,2099,2006-05-31T00:00:00
Dog Lifetime Neutered Male,BEAGLE,SPOTTED,WINSTON,15076,2099,2006-05-31T00:00:00
Dog Lifetime Spayed Female,SHEPHERD MIX,WHITE,PEPPER,15202,2099,2006-05-31T00:00:00
Dog Lifetime Spayed Female,SIB HUSKY,WHITE,DAKOTA,15202,2099,2006-05-31T00:00:00
Dog Lifetime Male,SCHNAUZER GIANT,BLACK,BEAR,15135,2099,2006-05-31T00:00:00
Dog Lifetime Neutered Male,GER SHEPHERD MIX,BROWN,MURPHY,15237,2099,2006-06-01T00:00:00
Dog Inter County Transfer - Lifetime,GER SHORTHAIR POINT,LIVER,REX,15135,2099,2006-06-02T00:00:00
Dog Senior Lifetime Spayed Female,COCKAPOO,TAN,TAFFY,15101,2099,2006-06-02T00:00:00
Dog Lifetime Spayed Female,SHIH TZU,WHITE/GREY,MAGGIE MAE,15102,2099,2006-06-05T00:00:00
Dog Lifetime Spayed Female,PUG,BLACK,MIDNIGHT,15131,2099,2006-06-06T00:00:00
Dog Lifetime Neutered Male,COCKER SPANIEL,WHITE/BLACK,RILEY,15101,2099,2006-06-06T00:00:00
Dog Lifetime Spayed Female,MIXED,WHITE/BLACK,BELLA,15133,2099,2006-06-06T00:00:00
Dog Lifetime Neutered Male,LHASA APSO,WHITE/BROWN,SAMMY,15025,2099,2006-06-06T00:00:00
Dog Lifetime Spayed Female,MIXED,WHITE/BLACK,BELLA,15131,2099,2006-06-07T00:00:00
Dog Lifetime Spayed Female,AM PIT BULL TERRIER,BRINDLE,RUSIIA,15237,2099,2006-06-07T00:00:00
Dog Lifetime Spayed Female,SIB HUSKY,WHITE/BLACK,RUBY RED,15237,2099,2006-06-07T00:00:00
Dog Lifetime Female,AM PIT BULL TERRIER,BRINDLE,BRISBANE,15237,2099,2006-06-07T00:00:00
Dog Lifetime Spayed Female,COLLIE MIX,BROWN,TOBI WAGNER,15129,2099,2006-06-07T00:00:00
Dog Lifetime Spayed Female,POODLE TOY,WHITE/APRICOT,CHLOE,15146,2099,2006-06-07T00:00:00
Dog Lifetime Spayed Female,POODLE TOY,BLACK,TESSA,15146,2099,2006-06-07T00:00:00
Dog Senior Lifetime Spayed Female,TERRIER MIX,WHITE,GINGER,15025,2099,2006-06-07T00:00:00
Dog Senior Lifetime Spayed Female,MIXED,BROWN,LUCKY,15025,2099,2006-06-07T00:00:00
Dog Lifetime Neutered Male,LAB MIX,BLACK,MAX,15045,2099,2006-08-10T00:00:00
Dog Senior Lifetime Spayed Female,LAB MIX,BLACK,STELLA,15227,2099,2006-06-08T00:00:00
Dog Lifetime Neutered Male,SHIH TZU,WHITE/BLACK,JABRODY,15202,2099,2006-06-08T00:00:00
Dog Senior Lifetime Male,GER SHEPHERD,BLACK/BROWN,GUNTHER,15025,2099,2006-06-09T00:00:00
Dog Lifetime Neutered Male,CHOW CHOW MIX,BROWN,TITUS,15051,2099,2006-06-09T00:00:00
Dog Lifetime Spayed Female,BEAGLE MIX,BLACK/TAN,HARLEY,15237,2099,2006-06-09T00:00:00
Dog Lifetime Female,LABRADOR RETRIEVER,RED,COPPER,15144,2099,2006-06-09T00:00:00
Dog Lifetime Female,NORW ELKHOUND,BLACK/SILVER,LUCY,15025,2099,2006-06-09T00:00:00
Dog Lifetime Spayed Female,MIXED,BLACK/BROWN,MYSTIC,15108,2099,2006-06-09T00:00:00
Dog Lifetime Spayed Female,MIXED,BLACK,DORIS,15146,2099,2006-06-09T00:00:00
Dog Lifetime Spayed Female,NORW ELKHOUND,WHITE/BLACK/GREY,MARLO,15090,2099,2006-06-09T00:00:00
Dog Lifetime Spayed Female,AM ESKIMO DOG,WHITE,HADLEY,15237,2099,2006-07-18T00:00:00
Dog Lifetime Neutered Male,LAB MIX,BLACK,JUAQUIN,15218,2099,2006-06-13T00:00:00
Dog Senior Lifetime Spayed Female,AUS SHEPHERD,MULTI,EMMY LOU,15037,2099,2006-06-13T00:00:00
Dog Lifetime Neutered Male,MIXED,WHITE/BLACK/BROWN,BISCUIT,15227,2099,2006-07-06T00:00:00
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BROWN,BAILEY,15133,2099,2006-07-06T00:00:00
Dog Lifetime Spayed Female,MIXED,WHITE/BROWN,KITA,15122,2099,2006-06-20T00:00:00
Dog Lifetime Spayed Female,MIXED,WHITE/BROWN,KITA,15122,2099,2006-06-20T00:00:00
Dog Lifetime Neutered Male,WHIPPET,FAWN,BAILEY,15122,2099,2006-06-15T00:00:00
Dog Lifetime Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,ROXIE,15209,2099,2006-06-15T00:00:00
Dog Lifetime Spayed Female,DACHSHUND,RED,GABBY,15133,2099,2006-06-20T00:00:00
Dog Lifetime Spayed Female,DACHSHUND,RED,ZOEY,15133,2099,2006-06-20T00:00:00
Dog Lifetime Spayed Female,COLLIE MIX,WHITE/TAN,TABITHA,15131,2099,2006-06-21T00:00:00
Dog Lifetime Spayed Female,GER SHEPHERD,BLACK/BROWN,ABBY,15101,2099,2006-06-20T00:00:00
Dog Lifetime Neutered Male,PAPILLON,WHITE/BROWN,NUGGET,15037,2099,2006-06-21T00:00:00
Dog Lifetime Spayed Female,CHIHUAHUA,WHITE/RED,ANGEL,15239,2099,2006-06-22T00:00:00
Dog Lifetime Neutered Male,COCKER SPANIEL,BLACK,MAX,15034,2099,2006-06-22T00:00:00
Dog Lifetime Spayed Female,WEIMARANER,GREY,LACEY,15132,2099,2006-06-22T00:00:00
Dog Lifetime Neutered Male,BEAGLE,MULTI,SNICKERS,15129,2099,2006-06-23T00:00:00
Dog Lifetime Spayed Female,GOLDEN RETRIEVER,GOLD,PRINCESS SOPHIA,15145,2099,2006-06-23T00:00:00
Dog Lifetime Spayed Female,YORKSHIRE TERRIER,BLACK/BROWN,TWO 1/2,15132,2099,2006-06-23T00:00:00
Dog Lifetime Neutered Male,YORKSHIRE TERRIER,BLACK/BROWN,NITRO,15132,2099,2006-06-23T00:00:00
Dog Lifetime Spayed Female,PEEKAPOO,WHITE/BLACK,JESSIE,15236,2099,2006-06-26T00:00:00
Dog Lifetime Female,BERNESE MTN DOG,WHITE/BLACK/BROWN,GRETEL,15136,2099,2006-06-26T00:00:00
Dog Lifetime Neutered Male,AIREDALE TERRIER,BLACK/RED,DUKE,15147,2099,2006-07-11T00:00:00
Dog Lifetime Female,MIXED,BLACK/TAN,KALI,15132,2099,2006-06-27T00:00:00
Dog Inter County Transfer - Lifetime,CHIHUAHUA,CHOCOLATE,MONTEZMA,15237,2099,2006-06-27T00:00:00
Dog Lifetime Male,BASSET HOUND,MULTI,PETE,15131,2099,2006-06-28T00:00:00
Dog Lifetime Spayed Female,MIXED,SPOTTED,CHLOE,15234,2099,2006-06-28T00:00:00
Dog Lifetime Neutered Male,BEAGLE,WHITE/BLACK/BROWN,SPARKY,15102,2099,2006-06-28T00:00:00
Dog Lifetime Spayed Female,ROTTWEILER,BLACK/TAN,HONEY,15147,2099,2006-06-29T00:00:00
Dog Lifetime Neutered Male,ROTTWEILER MIX,BLACK/TAN,JESSE,15147,2099,2006-06-29T00:00:00
Dog Lifetime Spayed Female,LAB MIX,WHITE/BLACK,SHADOW,15214,2099,2006-06-29T00:00:00
Dog Lifetime Spayed Female,SFT COAT WHEAT TERR,BROWN,STELLA,15044,2099,2006-06-29T00:00:00
Dog Lifetime Neutered Male,ENG SETTER,ORANGE/WHITE,BLUE,15122,2099,2006-06-30T00:00:00
Dog Lifetime Neutered Male,WEIMARANER,GREY,SMOKEY,15122,2099,2006-07-03T00:00:00
Dog Lifetime Spayed Female,POODLE MIX,WHITE,BAIDA,15209,2099,2006-07-03T00:00:00
Dog Lifetime Spayed Female,CAV KING CHAR SPANI,WHITE/RED,NESSIE,15137,2099,2006-07-03T00:00:00
Dog Lifetime Neutered Male,BORD COLLIE,WHITE/BLACK,STANLEY,15108,2099,2006-07-03T00:00:00
Dog Lifetime Neutered Male,BEAGLE,MULTI,MAX,15108,2099,2006-07-03T00:00:00
Dog Senior Lifetime Spayed Female,POODLE TOY,BLACK,BLACKIE IV,15139,2099,2006-07-12T00:00:00
Dog Lifetime Spayed Female,POODLE MIN,BROWN,GINGER,15133,2099,2006-07-28T00:00:00
Dog Lifetime Neutered Male,BOXER,BLACK/FAWN,TITAN MOORE,15209,2099,2006-07-06T00:00:00
Dog Lifetime Neutered Male,WELSH CORGI PEMBROK,SABLE/WHITE,ROCKY,15133,2099,2006-07-18T00:00:00
Dog Lifetime Spayed Female,WELSH CORGI PEMBROK,MULTI,SHANNON,15133,2099,2006-07-18T00:00:00
Dog Lifetime Spayed Female,TREE WALK COONHOUND,MULTI,KATE,15220,2099,2006-07-10T00:00:00
Dog Lifetime Spayed Female,CHIHUAHUA,WHITE/RED,SAVANNAH ROSE,15239,2099,2006-07-11T00:00:00
Dog Lifetime Neutered Male,GER SHEPHERD,BLACK/BROWN,ROMMELL,15037,2099,2006-07-11T00:00:00
Dog Senior Lifetime Neutered Male,MASTIFF,BROWN,BUDDY WARGO,15132,2099,2006-07-11T00:00:00
Dog Lifetime Spayed Female,BOXER,BROWN,CRYSTAL,15133,2099,2006-07-11T00:00:00
Dog Lifetime Neutered Male,YORKSHIRE TERR MIX,BLACK/TAN,CASPER,15045,2099,2006-07-11T00:00:00
Dog Lifetime Neutered Male,YORKSHIRE TERR MIX,BLACK/TAN,CASPER,15045,2099,2006-07-11T00:00:00
Dog Lifetime Spayed Female,COCKER SPANIEL,MULTI,BELLA,15221,2099,2006-07-11T00:00:00
Dog Lifetime Neutered Male,COCKER SPANIEL,RED,SAM,15221,2099,2006-07-11T00:00:00
Dog Lifetime Spayed Female,YORKSHIRE TERRIER,BLUE/GOLD,CARLEE,15045,2099,2006-07-11T00:00:00
Dog Lifetime Spayed Female,PUG,BLONDE,SOPHIA FRANCES,15237,2099,2006-08-22T00:00:00
Dog Lifetime Neutered Male,MIXED,BLACK,SCOOTER,15145,2099,2006-08-24T00:00:00
Dog Lifetime Spayed Female,PARSON RUSSELL TERR,WHITE,LEXI,15084,2099,2006-07-12T00:00:00
Dog Senior Lifetime Neutered Male,PUG,BLACK/TAN,JOEY,15212,2099,2006-07-12T00:00:00
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BLACK,GUNNER,15044,2099,2006-08-14T00:00:00
